No;Provinsi;Bawang_Merah;Sawi 
1;ACEH;10136.00;3206.00
2;SUMATERA UTARA;53962.00;74908.00
3;SUMATERA BARAT;200366.00;35283.00
4;RIAU;329.00;1673.00
5;JAMBI;13264.00;12219.00
6;SUMATERA SELATAN;1125.00;4055.00
7;BENGKULU;990.00;35634.00
8;LAMPUNG;1762.00;10180.00
9;KEP. BANGKA BELITUNG;208.00;1654.00
10;KEP. RIAU;33.00;1495.00
11;DKI JAKARTA;2.00;2684.00
12;JAWA BARAT;170650.00;188944.00
13;JAWA TENGAH;564255.00;109294.00
14;DI YOGYAKARTA;29809.00;4136.00
15;JAWA TIMUR;500992.00;82613.00
16;BANTEN;1190.00;6786.00
17;BALI;23215.00;24519.00
18;NUSA TENGGARA BARAT;222620.00;3628.00
19;NUSA TENGGARA TIMUR;11430.00;13376.00
20;KALIMANTAN BARAT;104.00;5118.00
21;KALIMANTAN TENGAH;34.00;2839.00
22;KALIMANTAN SELATAN;389.00;1441.00
23;KALIMANTAN TIMUR;72.00;6915.00
24;KALIMANTAN UTARA;88.00;1891.00
25;SULAWESI UTARA;4986.00;48022.00
26;SULAWESI TENGAH;4652.00;14766.00
27;SULAWESI SELATAN;183210.00;15590.00
28;SULAWESI TENGGARA;1015.00;1191.00
29;GORONTALO;346.00;25.00
30;SULAWESI BARAT;693.00;633.00
31;MALUKU;1013.00;3804.00
32;MALUKU UTARA;1231.00;1238.00
33;PAPUA BARAT;118.00;1635.00
34;PAPUA;304.00;6073.00
