BERDASARKAN ANODE (PH);;;;;;;BERDASARKAN ANODE (ORP);;;;;;;BERDASARKAN ANODE (TDS);;;;;
Time (min);Titanium;Aluminium;Steanless Steel;Cuprum;Zinc;;Time (Min);Titanium;Aluminium;Steanless Steel;Cuprum;Zinc;;Time (Min);Titanium;Aluminium;Steanless Steel;Cuprum;Zinc
0;7.6;7.7;6.9;6.4;6.2;;0;190;145;178;467;259;;0;52;56;1;5;2
5;7.6;7;6.9;6.5;5.8;;5;206;142;169;460;285;;5;82;70;2;5;4
10;7.6;7;6.0;5.9;5.8;;10;208;140;167;469;310;;10;83;73;2;4;5
15;6.8;6.8;5.8;6;5.9;;15;221;135;165;481;320;;15;83;78;2;4;5
20;6.8;6.8;5.7;6;5.6;;20;226;134;158;486;335;;20;82;77;2;5;5
25;6.8;6.9;5.7;5.9;5.5;;25;229;134;161;489;357;;25;84;77;2;5;6
30;6.8;6.5;5.8;5.5;5.5;;30;235;132;155;505;341;;30;82;75;2;5;6
35;6.8;6.9;5.8;5.4;5.2;;35;237;132;161;509;340;;35;81;76;2;5;6
40;6.8;6.9;5.8;5.7;4.8;;40;246;130;158;515;340;;40;83;76;2;5;6
45;7.0;6.9;5.9;5.5;5.3;;45;292;129;152;526;267;;45;82;75;2;5;5
50;7.0;6.5;5.5;5.6;4.8;;50;249;128;160;534;259;;50;85;75;3;5;7
55;6.8;6.5;5.5;5.7;5.2;;55;250;127;161;530;254;;55;82;75;2;6;7
60;6.7;6.5;5.8;5.8;5.2;;60;252;127;164;531;250;;60;79;75;2;7;7
75;6.7;6.3;6.2;5.4;4.8;;75;274;125;166;549;244;;75;80;74;2;6;6
90;6.4;6.6;6.0;5.5;4.8;;90;274;123;165;543;240;;90;78;74;2;6;7
105;6.8;5.1;5.8;5.1;4.5;;105;282;122;170;554;230;;105;78;74;2;6;9
120;6.6;5.5;5.8;5.1;4.4;;120;289;120;171;539;214;;120;83;69;4;6;9
180;5.7;6;5.3;5.4;3.9;;180;316;118;177;554;198;;180;71;70;4;6;10
240;4.5;5.3;5.3;5.7;3.2;;240;372;122;172;611;198;;240;76;68;4;6;11
300;4.2;4.9;5.1;5.6;3.1;;300;402;131;159;573;192;;300;79;69;4;6;11
360;3.7;4.6;4.9;5.7;3.1;;360;427;141;158;578;152;;360;87;71;4;6;13
420;4.0;4.7;4.8;5.5;3;;420;433;141;157;551;135;;420;103;73;5;6;13
480;3.9;4.6;4.6;6;3;;480;420;150;155;571;134;;480;111;74;6;6;15
540;3.2;4.3;4.7;5.5;3;;540;391;158;150;560;130;;540;114;76;5;5;17
600;3.2;4.4;4.6;5.4;2.5;;600;346;160;149;547;140;;600;120;76;5;7;19
660;3.2;4.5;4.7;6;1.3;;660;405;159;146;568;148;;660;148;77;5;6;19
720;3.1;4.3;4.9;5.5;1;;720;406;162;147;570;131;;720;158;76;7;7;25
780;3.0;4.8;4.9;5.8;1.7;;780;409;162;143;565;143;;780;171;77;6;9;23
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
BERSDASARKAN KATODA (PH);;;;;;;BERDASARKAN KATODA (ORP);;;;;;;BERDASARKAN KATODA (TDS);;;;;
Time (min);Titanium;Aluminium;Steanless Steel;Cuprum;Zinc;;Time (min);Titanium;Aluminium;Steanless Steel;Cuprum;Zinc;;Time (min);Titanium;Aluminium;Steanless Steel;Cuprum;Zinc
0;7.6;7.6;7.1;6.3;6.4;;0;190;145;177;329;260;;0;52;56;3;5;1
5;7.4;7.1;7.1;6.2;6.9;;5;189;136;176;382;268;;5;69;62;3;5;14
10;7.6;7.1;6.7;5.5;6.9;;10;190;115;173;381;268;;10;72;62;1;4;18
15;7.8;7.1;6.7;5;6.8;;15;180;124;172;385;262;;15;72;61;2;4;20
20;8.1;7.6;6.8;5.6;6.8;;20;170;117;169;385;266;;20;72;60;2;4;22
25;8.2;7.4;6.7;5.6;7.1;;25;159;106;164;387;242;;25;70;59;2;4;23
30;8.4;7.4;6.7;5.7;7.1;;30;156;86;154;392;227;;30;72;61;2;5;27
35;8.5;7.4;7.0;5.7;7.6;;35;152;73;154;393;211;;35;71;59;2;4;27
40;8.6;7.7;7.1;5.4;7.7;;40;147;74;146;394;196;;40;73;60;2;4;27
45;9.1;7.6;7.1;5.3;7.7;;45;138;65;143;399;190;;45;74;60;2;4;26
50;9.1;7.6;7.2;5.3;8.3;;50;130;49;135;399;185;;50;75;62;2;5;26
55;9.4;7.7;7.2;5.3;8.3;;55;121;44;131;404;182;;55;75;62;2;5;27
60;9.5;7.7;7.1;5;8.3;;60;123;33;129;407;175;;60;76;59;2;7;27
75;9.7;8.0;7.1;4.6;8.5;;75;127;12;120;422;171;;75;77;62;4;5;28
90;9.3;8.2;7.3;4.7;8.6;;90;120;-14;110;428;165;;90;79;62;4;5;31
105;9.2;8.9;7.2;5.4;8.7;;105;125;-35;107;440;159;;105;82;64;3;6;31
120;9.5;9.2;7.4;5.3;8.7;;120;117;-72;105;448;150;;120;80;63;5;6;31
180;9.5;9.3;6.9;5.3;8.6;;180;84;-182;101;487;134;;180;89;67;5;7;31
240;9.6;9.3;7.3;5.1;9.8;;240;18;-218;108;523;150;;240;95;70;7;6;30
300;9.9;9.5;7.4;5.4;9.1;;300;-26;-233;114;549;154;;300;110;76;5;7;29
360;10;9.2;7.3;4.8;10.3;;360;-100;-251;113;585;131;;360;119;82;6;6;33
420;10.2;9.7;7.4;5.2;10.3;;420;-151;-272;103;640;119;;420;114;86;6;6;34
480;10.9;10.0;7.5;5.2;10.1;;480;-207;-275;99;685;110;;480;120;86;7;7;36
540;10.4;10.0;7.9;5;10.2;;540;-246;-286;96;711;109;;540;124;94;7;7;37
600;10.8;10.2;8.1;5.2;9.5;;600;-247;-284;92;738;105;;600;128;96;8;7;38
660;10.8;10.0;8.3;5.1;9.4;;660;-274;-288;95;744;69;;660;128;102;8;6;45
720;10.8;9.0;8.1;5;9.2;;720;-296;-278;93;740;45;;720;131;105;8;6;49
780;10.7;10.0;8.5;5.3;9.8;;780;-299;-273;90;742;78;;780;134;108;9;6;54
