No;Provinsi;Luas Lahan;Produktivitas;Produksi
;ACEH;276622.14;55.03;1533138.00
;SUMATERA UTARA;423522.28;52.00;2131672.00
;SUMATERA BARAT;288510.67;48.36;1422874.00
;RIAU;54317.04;40.98;227346.30
;JAMBI;63760.91;46.29;289276.80
;SUMATERA SELATAN;516259.59;51.44;2759343.00
;BENGKULU;58663.78;48.67;290155.90
;LAMPUNG;516910.01;50.77;2661363.00
;KEP. BANGKA BELITUNG;15908.70;38.57;62641.49
;KEP. RIAU;196.53;31.65;589.68
;DKI JAKARTA;535.63;58.03;2741.38
;JAWA BARAT;1685295.13;56.81;9620534.00
;JAWA TENGAH;1699436.08;56.69;9579069.00
;DI YOGYAKARTA;112148.00;51.77;580686.00
;JAWA TIMUR;1704759.48;56.02;9686760.00
;BANTEN;338454.39;50.38;1776812.00
;BALI;114790.87;58.83;691818.90
;NUSA TENGGARA BARAT;269827.26;51.39;1456923.00
;NUSA TENGGARA TIMUR;185737.54;41.85;776867.10
;KALIMANTAN BARAT;272115.99;31.90;814743.30
;KALIMANTAN TENGAH;109756.22;30.28;353864.60
;KALIMANTAN SELATAN;225483.04;39.97;873130.30
;KALIMANTAN TIMUR;64031.22;36.92;232143.50
;KALIMANTAN UTARA;10550.13;33.74;37966.25
;SULAWESI UTARA;59081.54;39.35;253478.90
;SULAWESI TENGAH;173238.56;47.59;771524.90
;SULAWESI SELATAN;1042107.35;51.67;5341021.00
;SULAWESI TENGGARA;119662.53;41.57;494855.90
;GORONTALO;48497.60;48.12;249708.90
;SULAWESI BARAT;71470.11;52.05;364683.20
;MALUKU;23991.26;41.24;92640.14
;MALUKU UTARA;6408.19;36.05;24705.38
;PAPUA BARAT;5475.82;41.98;24031.60
;PAPUA;48987.63;44.05;191109.20
