Tahun;Produksi
2007;68.493
2007;67.544
2007;17.553
2007;2.857
2007;-
2007;14.395
2007;184.166
2017;4
2017;58.971
2017;107.219
2017;-
2017;16.904
2017;1.609
2017;17.196
2017;417
2017;64.711
2017;13.570
2017;4.865
2017;21.468
2017;3.688
2017;410
2017;1.569
2017;325
2017;213
2017;3.478
2017;200
2017;2.688
2017;33.486
2017;3.308
2017;2.668
2017;397
2017;88
2017;2.503
2017;1
2018;70.774
2018;71.023
2018;18.452
2018;3.029
2018;-
2018;15.461
2018;193.507
2018;9
2018;60.346
2018;110.597
2018;-
2018;21.119
2018;2.564
2018;23.686
2018;483
2018;64.529
2018;15.243
2018;5.058
2018;23.737
2018;3.617
2018;397
2018;1.517
2018;297
2018;173
2018;3.892
2018;165
2018;2.817
2018;24.716
2018;3.198
2018;2.492
2018;400
2018;10
2018;2.742
2018;1
2019;72.652
2019;74.922
2019;15.316
2019;2.588
2019;0
2019;16.393
2019;191.081
2019;11
2019;62.567
2019;117.111
2019;-
2019;21.014
2019;2.558
2019;24.732
2019;513
2019;49.157
2019;15.255
2019;5.369
2019;24.088
2019;3.802
2019;405
2019;1.349
2019;224
2019;174
2019;2.730
2019;139
2019;2.588
2019;34.665
2019;4.132
2019;2.765
2019;411
2019;14
2019;2.789
2019;1
2020;73.411
2020;74.997
2020;12.264
2020;2.410
2020;0
2020;18.713
2020;191.081
2020;17
2020;62.704
2020;118.149
2020;-
2020;22.372
2020;2.183
2020;24.922
2020;534
2020;48.498
2020;15.300
2020;5.866
2020;24.238
2020;3.729
2020;394
2020;1.291
2020;225
2020;179
2020;3.705
2020;139
2020;2.594
2020;33.728
2020;4.300
2020;2.798
2020;394
2020;15
2020;2.792
2020;2
2021;73.674
2021;74.512
2021;16.337
2021;2.500
2021;0
2021;19.718
2021;188.760
2021;17
2021;69.861
2021;115.689
2021;-
2021;22.814
2021;2.156
2021;25.136
2021;550
2021;48.675
2021;15.759
2021;5.822
2021;24.921
2021;3.630
2021;372
2021;1.360
2021;198
2021;177
2021;3.697
2021;160
2021;2.622
2021;36.014
2021;4.331
2021;2.762
2021;401
2021;8
2021;2.777
2021;2
