No;Provinsi;Padi;Bawang_Merah
1;ACEH;1634639.60;10136.00
2;SUMATERA UTARA;2004142.51;53962.00
3;SUMATERA BARAT;1317209.38;200366.00
4;RIAU;217458.87;329.00
5;JAMBI;298149.25;13264.00
6;SUMATERA SELATAN;2552443.19;1125.00
7;BENGKULU;271117.19;990.00
8;LAMPUNG;2485452.78;1762.00
9;KEP. BANGKA BELITUNG;70496.25;208.00
10;KEP. RIAU;855.01;33.00
11;DKI JAKARTA;3249.47;2.00
12;JAWA BARAT;9113573.08;170650.00
13;JAWA TENGAH;9618656.81;564255.00
14;DI YOGYAKARTA;556531.03;29809.00
15;JAWA TIMUR;9789587.67;500992.00
16;BANTEN;1603247.00;1190.00
17;BALI;618910.81;23215.00
18;NUSA TENGGARA BARAT;1419559.84;222620.00
19;NUSA TENGGARA TIMUR;731877.74;11430.00
20;KALIMANTAN BARAT;711898.01;104.00
21;KALIMANTAN TENGAH;381189.55;34.00
22;KALIMANTAN SELATAN;1016313.55;389.00
23;KALIMANTAN TIMUR;244677.96;72.00
24;KALIMANTAN UTARA;29967.31;88.00
25;SULAWESI UTARA;232884.76;4986.00
26;SULAWESI TENGAH;867012.77;4652.00
27;SULAWESI SELATAN;5090637.23;183210.00
28;SULAWESI TENGGARA;530029.08;1015.00
29;GORONTALO;234392.86;346.00
30;SULAWESI BARAT;311072.46;693.00
31;MALUKU;116803.67;1013.00
32;MALUKU UTARA;28050.80;1231.00
33;PAPUA BARAT;26926.93;118.00
34;PAPUA;286279.80;304.00
