No;Provinsi;Padi;Cabai 
1;ACEH;1634639.60;51686.00
2;SUMATERA UTARA;2004142.51;78663.00
3;SUMATERA BARAT;1317209.38;35118.00
4;RIAU;217458.87;6694.00
5;JAMBI;298149.25;11526.00
6;SUMATERA SELATAN;2552443.19;11562.00
7;BENGKULU;271117.19;16278.00
8;LAMPUNG;2485452.78;10921.00
9;KEP. BANGKA BELITUNG;70496.25;3954.00
10;KEP. RIAU;855.01;1627.00
11;DKI JAKARTA;3249.47;1.00
12;JAWA BARAT;9113573.08;137456.00
13;JAWA TENGAH;9618656.81;179287.00
14;DI YOGYAKARTA;556531.03;15933.00
15;JAWA TIMUR;9789587.67;578883.00
16;BANTEN;1603247.00;3993.00
17;BALI;618910.81;29175.00
18;NUSA TENGGARA BARAT;1419559.84;62539.00
19;NUSA TENGGARA TIMUR;731877.74;9076.00
20;KALIMANTAN BARAT;711898.01;6332.00
21;KALIMANTAN TENGAH;381189.55;6961.00
22;KALIMANTAN SELATAN;1016313.55;11758.00
23;KALIMANTAN TIMUR;244677.96;8367.00
24;KALIMANTAN UTARA;29967.31;5819.00
25;SULAWESI UTARA;232884.76;17371.00
26;SULAWESI TENGAH;867012.77;22199.00
27;SULAWESI SELATAN;5090637.23;26423.00
28;SULAWESI TENGGARA;530029.08;4287.00
29;GORONTALO;234392.86;13032.00
30;SULAWESI BARAT;311072.46;3336.00
31;MALUKU;116803.67;3596.00
32;MALUKU UTARA;28050.80;3733.00
33;PAPUA BARAT;26926.93;3808.00
34;PAPUA;286279.80;5054.00
