No;Provinsi;Padi;Cabai_Rawit ;Bawang_Merah;Kentang ;Kubis ;Sawi ;Wortel ;Kacang_Panjang ;Cabai_Besar;Tomat ;Terung;Buncis ;Ketimun ;Labu_Siam
1;ACEH;1634639.60;51686.00;10136.00;15997.00;4225.00;3206.00;389.00;12558.00;58382.00;11706.00;11598.00;585.00;12936.00;14830.00
2;SUMATERA UTARA;2004142.51;78663.00;53962.00;159014.00;233761.00;74908.00;141446.00;28386.00;210220.00;203162.00;51320.00;49856.00;22975.00;14047.00
3;SUMATERA BARAT;1317209.38;35118.00;200366.00;15201.00;174387.00;35283.00;25457.00;24961.00;115766.00;97271.00;107268.00;41738.00;29201.00;32046.00
4;RIAU;217458.87;6694.00;329.00;-;-;1673.00;-;9163.00;14097.00;151.00;10168.00;8.00;16808.00;577.00
5;JAMBI;298149.25;11526.00;13264.00;129336.00;51461.00;12219.00;6754.00;7474.00;59855.00;23890.00;14819.00;4285.00;5776.00;11215.00
6;SUMATERA SELATAN;2552443.19;11562.00;1125.00;524.00;4151.00;4055.00;2359.00;10568.00;23556.00;8836.00;13441.00;3537.00;12488.00;3145.00
7;BENGKULU;271117.19;16278.00;990.00;3573.00;76689.00;35634.00;42366.00;6358.00;48778.00;30868.00;80660.00;29803.00;14522.00;15738.00
8;LAMPUNG;2485452.78;10921.00;1762.00;179.00;6073.00;10180.00;5579.00;15652.00;34550.00;15934.00;21523.00;4454.00;12491.00;2647.00
9;KEP. BANGKA BELITUNG;70496.25;3954.00;208.00;-;8.00;1654.00;-;2783.00;5059.00;1147.00;3801.00;516.00;5184.00;339.00
10;KEP. RIAU;855.01;1627.00;33.00;-;10.00;1495.00;-;3954.00;2967.00;425.00;463.00;255.00;3062.00;-
11;DKI JAKARTA;3249.47;1.00;2.00;-;6.00;2684.00;-;-;-;-;15.00;-;-;-
12;JAWA BARAT;9113573.08;137456.00;170650.00;240482.00;231871.00;188944.00;135117.00;83112.00;343067.00;292309.00;99958.00;86093.00;148272.00;106410.00
13;JAWA TENGAH;9618656.81;179287.00;564255.00;277725.00;226695.00;109294.00;153026.00;30142.00;169282.00;77297.00;47511.00;27560.00;28270.00;114872.00
14;DI YOGYAKARTA;556531.03;15933.00;29809.00;29.00;1.00;4136.00;-;2363.00;38378.00;949.00;2718.00;322.00;1428.00;64.00
15;JAWA TIMUR;9789587.67;578883.00;500992.00;324338.00;193026.00;82613.00;91666.00;38070.00;127429.00;93121.00;90519.00;28596.00;53570.00;48127.00
16;BANTEN;1603247.00;3993.00;1190.00;4.00;51.00;6786.00;216.00;14372.00;6406.00;1190.00;5387.00;55.00;17858.00;33.00
17;BALI;618910.81;29175.00;23215.00;114.00;38992.00;24519.00;1780.00;5957.00;11747.00;12172.00;1560.00;7036.00;7835.00;70119.00
18;NUSA TENGGARA BARAT;1419559.84;62539.00;222620.00;2036.00;13064.00;3628.00;5053.00;10038.00;16086.00;28514.00;8094.00;2324.00;3483.00;1347.00
19;NUSA TENGGARA TIMUR;731877.74;9076.00;11430.00;410.00;3418.00;13376.00;3377.00;6817.00;3218.00;10605.00;14471.00;4448.00;6200.00;15884.00
20;KALIMANTAN BARAT;711898.01;6332.00;104.00;-;28.00;5118.00;5.00;7222.00;2791.00;4108.00;7254.00;1835.00;10933.00;262.00
21;KALIMANTAN TENGAH;381189.55;6961.00;34.00;-;28.00;2839.00;-;6962.00;1711.00;3505.00;6467.00;2927.00;7816.00;95.00
22;KALIMANTAN SELATAN;1016313.55;11758.00;389.00;-;11.00;1441.00;-;4749.00;8977.00;5067.00;5225.00;1958.00;4905.00;-
23;KALIMANTAN TIMUR;244677.96;8367.00;72.00;-;4.00;6915.00;-;9691.00;5916.00;9101.00;10810.00;5239.00;12248.00;119.00
24;KALIMANTAN UTARA;29967.31;5819.00;88.00;-;-;1891.00;-;1596.00;4161.00;6008.00;12200.00;1197.00;5522.00;90.00
25;SULAWESI UTARA;232884.76;17371.00;4986.00;120187.00;75085.00;48022.00;55002.00;3186.00;9042.00;66711.00;13197.00;1932.00;3553.00;42031.00
26;SULAWESI TENGAH;867012.77;22199.00;4652.00;656.00;36735.00;14766.00;6212.00;2978.00;6528.00;17634.00;5062.00;1330.00;2956.00;5336.00
27;SULAWESI SELATAN;5090637.23;26423.00;183210.00;71083.00;59868.00;15590.00;44209.00;12899.00;17822.00;63373.00;11301.00;7321.00;8404.00;13462.00
28;SULAWESI TENGGARA;530029.08;4287.00;1015.00;-;121.00;1191.00;2.00;4309.00;2411.00;4800.00;5820.00;203.00;2183.00;876.00
29;GORONTALO;234392.86;13032.00;346.00;-;2.00;25.00;-;159.00;909.00;2808.00;238.00;-;91.00;9.00
30;SULAWESI BARAT;311072.46;3336.00;693.00;101.00;2.00;633.00;8.00;2410.00;2466.00;1483.00;1522.00;45.00;1263.00;125.00
31;MALUKU;116803.67;3596.00;1013.00;3.00;880.00;3804.00;7.00;2805.00;2029.00;4024.00;3271.00;1173.00;2744.00;1577.00
32;MALUKU UTARA;28050.80;3733.00;1231.00;-;20.00;1238.00;-;2401.00;3040.00;5449.00;3136.00;419.00;1497.00;785.00
33;PAPUA BARAT;26926.93;3808.00;118.00;71.00;261.00;1635.00;43.00;2779.00;911.00;2214.00;1696.00;1173.00;2348.00;188.00
34;PAPUA;286279.80;5054.00;304.00;2.00;3740.00;6073.00;18.00;6813.00;3016.00;8569.00;3846.00;2550.00;3118.00;559.00
